Nomor laporan,Kategori,Lat,Lng,Kelurahan,Kecamatan,Kota,Provinsi,Day
1079219,Kaki Lima Liar,-6.148424,106.834511,Gunung Sahari Utara,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Sunday
1079507,Kaki Lima Liar,-6.164143,106.829712,Pasar Baru,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1079611,Kaki Lima Liar,-6.162208,106.812538,Petojo Utara,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1080105,Kaki Lima Liar,-6.209396,106.820999,Karet Tengsin,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1080217,Kaki Lima Liar,-6.204286,106.846527,Pegangsaan,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1080281,Kaki Lima Liar,-6.184722,106.85611,Johar Baru,Johar Baru,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1080282,Kaki Lima Liar,-6.183761,106.856064,Johar Baru,Johar Baru,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1080283,Kaki Lima Liar,-6.184166,106.85611,Johar Baru,Johar Baru,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1080284,Kaki Lima Liar,-6.184722,106.85611,Johar Baru,Johar Baru,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1080285,Kaki Lima Liar,-6.183889,106.856392,Johar Baru,Johar Baru,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1080493,Kaki Lima Liar,-6.17004,106.871117,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1080498,Kaki Lima Liar,-6.169307,106.870758,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1080546,Kaki Lima Liar,-6.167568,106.8424,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1080548,Kaki Lima Liar,-6.167714,106.8424,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1080605,Kaki Lima Liar,-6.191869,106.841682,Cikini,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1080925,Kaki Lima Liar,-6.187438,106.817192,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday
1081205,Kaki Lima Liar,-6.185885,106.856079,Johar Baru,Johar Baru,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday
1082563,Kaki Lima Liar,-6.16228,106.843262,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1082565,Kaki Lima Liar,-6.162179,106.843216,Gunung Sahari Selatan,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1082567,Kaki Lima Liar,-6.162244,106.84317,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1082569,Kaki Lima Liar,-6.162429,106.842621,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1082701,Kaki Lima Liar,-6.186692,106.823235,Gondangdia,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1083491,Kaki Lima Liar,-6.162604,106.812569,Petojo Utara,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1083494,Kaki Lima Liar,-6.163003,106.812607,Petojo Utara,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1083631,Kaki Lima Liar,-6.191363,106.842857,Cikini,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1084706,Kaki Lima Liar,-6.198066,106.852539,Paseban,Senen,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
